,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
23228,2020-07-13T00:00:00.000,DC,10906,,,59.0,0.0,568,,,0.0,0.0,2020-07-14T15:13:07.425,,
23229,2020-11-09T00:00:00.000,FSM,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2020-11-10T14:45:45.196,Agree,Agree
23230,2021-02-12T00:00:00.000,ND,98551,93764.0,4787.0,85.0,44.0,1431,,,0.0,0.0,2021-02-13T14:50:08.565,Agree,Not agree
23231,2020-06-30T00:00:00.000,AL,38064,37554.0,510.0,861.0,16.0,947,926.0,21.0,16.0,0.0,2020-07-01T15:45:16.790,Agree,Agree
23232,2021-03-10T00:00:00.000,LA,435514,,,588.0,191.0,9812,9084.0,728.0,43.0,9.0,2021-03-11T15:36:21.295,Not agree,Agree
23233,2020-12-13T00:00:00.000,VA,285149,246566.0,38583.0,3240.0,593.0,4414,4009.0,405.0,3.0,0.0,2020-12-14T14:36:45.302,Agree,Agree
23234,2020-02-18T00:00:00.000,DE,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23235,2020-03-11T00:00:00.000,DE,1,,,1.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23236,2020-09-19T00:00:00.000,VI,1257,,,15.0,0.0,19,,,0.0,0.0,2020-09-20T13:53:10.094,,
23237,2021-01-22T00:00:00.000,NJ,650389,584291.0,66098.0,4200.0,597.0,20875,18754.0,2121.0,115.0,0.0,2021-01-23T14:50:13.435,Agree,Agree
23238,2020-06-21T00:00:00.000,NV,13434,,,274.0,0.0,508,,,1.0,0.0,2020-06-22T15:24:02.542,,
23239,2020-07-24T00:00:00.000,VT,1385,,,8.0,0.0,56,,,0.0,0.0,2020-07-25T17:40:06.519,Not agree,Not agree
23240,2020-12-22T00:00:00.000,ME,20491,17696.0,2795.0,1206.0,231.0,312,307.0,5.0,19.0,0.0,2020-12-23T14:36:58.341,Agree,Agree
23241,2020-06-17T00:00:00.000,WY,1114,884.0,230.0,25.0,7.0,18,18.0,0.0,0.0,0.0,2020-06-18T17:16:14.582,Agree,Agree
23242,2021-01-12T00:00:00.000,CT,217047,204505.0,12542.0,3689.0,308.0,6449,5236.0,1213.0,33.0,7.0,2021-01-13T14:44:58.633,Agree,Agree
23243,2020-09-12T00:00:00.000,WI,93055,87603.0,5452.0,1430.0,77.0,1217,1209.0,8.0,12.0,0.0,2020-09-13T16:17:15.117,Agree,Agree
23244,2021-02-07T00:00:00.000,LA,411812,,,1951.0,621.0,9119,8522.0,597.0,43.0,3.0,2021-02-08T14:53:12.094,Not agree,Agree
23245,2020-07-25T00:00:00.000,LA,103734,,,0.0,0.0,3715,3603.0,112.0,0.0,0.0,2020-07-26T15:17:16.725,Not agree,Agree
23246,2020-04-20T00:00:00.000,LA,24523,,,595.0,0.0,1328,1328.0,0.0,32.0,0.0,2020-04-20T16:22:39.452,Not agree,Agree
23247,2020-09-11T00:00:00.000,AL,136703,124097.0,12606.0,1138.0,308.0,2333,2204.0,129.0,32.0,4.0,2020-09-12T14:12:43.160,Agree,Agree
23248,2020-04-18T00:00:00.000,DC,2666,,,190.0,,91,,,5.0,,2020-04-18T16:22:39.452,,
23249,2021-02-11T00:00:00.000,ID,166876,135711.0,31165.0,323.0,75.0,1791,1577.0,214.0,0.0,0.0,2021-02-12T14:56:38.403,Agree,Agree
23250,2020-05-30T00:00:00.000,AZ,19255,19255.0,0.0,790.0,0.0,903,903.0,0.0,18.0,0.0,2020-05-31T14:43:17.781,Agree,Agree
23251,2020-10-06T00:00:00.000,IN,126946,,,970.0,0.0,3711,3484.0,227.0,30.0,0.0,2020-10-07T13:45:01.309,Not agree,Agree
23252,2020-11-02T00:00:00.000,IN,185185,,,3077.0,0.0,4390,4150.0,240.0,26.0,0.0,2020-11-03T14:57:05.887,Not agree,Agree
23253,2021-03-08T00:00:00.000,DC,41579,,,160.0,0.0,1035,,,5.0,0.0,2021-03-09T14:47:41.991,,
23254,2020-06-18T00:00:00.000,ME,2878,2555.0,323.0,42.0,-4.0,102,102.0,0.0,0.0,0.0,2020-06-19T15:01:11.041,Agree,Agree
23255,2020-05-04T00:00:00.000,WI,8236,8236.0,0.0,272.0,0.0,340,340.0,0.0,1.0,0.0,2020-05-05T17:25:08.000,Agree,Agree
23256,2020-10-18T00:00:00.000,AZ,231149,225962.0,5187.0,742.0,44.0,5827,5541.0,286.0,3.0,1.0,2020-10-19T14:06:44.391,Agree,Agree
23257,2020-06-11T00:00:00.000,WA,24779,,,137.0,0.0,1194,,,4.0,0.0,2020-06-12T14:17:59.811,,
23258,2020-07-11T00:00:00.000,NJ,176385,,,370.0,39.0,15525,13578.0,1947.0,46.0,0.0,2021-02-19T13:38:31.100,Not agree,Agree
23259,2020-11-05T00:00:00.000,OR,47839,46119.0,1720.0,790.0,0.0,710,695.0,15.0,5.0,0.0,2020-11-06T15:33:41.082,Agree,Agree
23260,2021-01-08T00:00:00.000,NV,243661,,,2866.0,0.0,3394,,,55.0,0.0,2021-01-09T15:26:08.605,,
23261,2020-07-11T00:00:00.000,RI,17312,,,0.0,0.0,976,,,0.0,0.0,2020-07-12T15:13:57.799,Not agree,
23262,2021-02-19T00:00:00.000,NJ,761498,678306.0,83192.0,3047.0,454.0,22784,20495.0,2289.0,63.0,0.0,2021-02-20T14:45:37.694,Agree,Agree
23263,2021-02-20T00:00:00.000,NV,290671,,,371.0,0.0,4868,,,37.0,0.0,2021-02-21T14:57:50.842,,
23264,2020-02-05T00:00:00.000,DE,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23265,2020-11-05T00:00:00.000,WA,112550,,,1070.0,0.0,2431,,,15.0,0.0,2020-11-06T15:33:41.082,,
23266,2020-08-03T00:00:00.000,DE,15055,14058.0,997.0,106.0,0.0,585,515.0,70.0,0.0,0.0,2020-08-04T14:09:35.859,Agree,Agree
23267,2020-11-07T00:00:00.000,WY,16597,14045.0,2552.0,192.0,18.0,105,105.0,0.0,0.0,0.0,2020-11-08T14:40:34.096,Agree,Agree
23268,2020-04-21T00:00:00.000,DC,3098,,,171.0,0.0,112,,,7.0,0.0,2020-04-21T16:22:39.452,,
23269,2020-11-10T00:00:00.000,MD,158423,,,1714.0,0.0,4249,4100.0,149.0,16.0,0.0,2020-11-11T15:15:25.262,,Agree
23270,2021-02-23T00:00:00.000,ID,169866,138007.0,31859.0,282.0,63.0,1840,1620.0,220.0,14.0,1.0,2021-02-24T14:56:12.713,Agree,Agree
23271,2021-01-06T00:00:00.000,DC,30482,,,316.0,0.0,806,,,5.0,0.0,2021-01-07T14:56:59.705,,
23272,2020-07-03T00:00:00.000,VA,64393,61690.0,2703.0,658.0,7.0,1845,1741.0,104.0,29.0,0.0,2020-07-04T15:30:31.943,Agree,Agree
23273,2020-09-18T00:00:00.000,MS,93087,86819.0,6268.0,1152.0,277.0,2809,2593.0,216.0,29.0,8.0,2020-09-19T14:00:26.273,Agree,Agree
23274,2020-09-09T00:00:00.000,MO,96904,,,1191.0,157.0,1673,,,12.0,0.0,2020-09-10T10:02:00.000,Not agree,Not agree
23275,2020-01-30T00:00:00.000,LA,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Not agree,Agree
23276,2021-01-06T00:00:00.000,AZ,574680,545136.0,29544.0,7206.0,789.0,9444,8493.0,951.0,127.0,32.0,2021-01-07T14:56:59.705,Agree,Agree
